artistImageSrc,properlySizedImageURL,callToActionRedirectUrl,fallbackImageUrl,artistName,venueName,streamingEvent,title,locationText,pinIconSrc,eventUrl,artistUrl,watchLiveText,isPlus,callToActionText,rsvpCount,rsvpCountInt,startsAt,timezone,displayRule,locale,file_safe_date,endsAt,is_weekend,week_number,month,days_before_event,event_duration_hours,popularite,nombre_jours_concert,longitude,latitude
https://photos.bandsintown.com/thumb/251503.jpeg,https://media.bandsintown.com/110x110/251503.webp,https://www.bandsintown.com/e/1033050003-dj-s-at-e1-london?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp,https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/03.png,DJ S,E1 London,False,,"London, United Kingdom",https://assets.prod.bandsintown.com/images/pinIcon.svg,https://www.bandsintown.com/e/1033050003-dj-s-at-e1-london?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,https://www.bandsintown.com/a/244625-dj-s?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,Watch Live,False,Tickets & RSVP,0,0,2024-10-19 23:00:00,Europe/London,datetime,en,data,,True,42,10,11,,Faible,1,-0.053749,51.514357
https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/06.png,https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/01.webp,https://www.bandsintown.com/e/1033049988-dj-supa-d-at-e1-london?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp,https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/02.png,DJ Supa D,E1 London,False,,"London, United Kingdom",https://assets.prod.bandsintown.com/images/pinIcon.svg,https://www.bandsintown.com/e/1033049988-dj-supa-d-at-e1-london?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,https://www.bandsintown.com/a/15558723-dj-supa-d?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,Watch Live,False,Tickets & RSVP,0,0,2024-10-19 23:00:00,Europe/London,datetime,en,data,,True,42,10,11,,Faible,1,-0.053749,51.514357
https://photos.bandsintown.com/thumb/17538478.jpeg,https://media.bandsintown.com/110x110/17538478.webp,https://www.bandsintown.com/e/1032793423-spinall-at-village-underground?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp,https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/07.png,SPINALL,Village Underground,False,,"London, United Kingdom",https://assets.prod.bandsintown.com/images/pinIcon.svg,https://www.bandsintown.com/e/1032793423-spinall-at-village-underground?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,https://www.bandsintown.com/a/9873972-spinall?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,Watch Live,False,Tickets & RSVP,3,3,2024-10-19 23:00:00,Europe/London,datetime,en,data,,True,42,10,11,,Moyenne,1,-0.078619,51.523617
https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/07.png,https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/03.webp,https://www.bandsintown.com/e/1032752107-skantia-at-volks-club?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp,https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/01.png,Skantia,Volks Club,False,,"Brighton, United Kingdom",https://assets.prod.bandsintown.com/images/pinIcon.svg,https://www.bandsintown.com/e/1032752107-skantia-at-volks-club?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,https://www.bandsintown.com/a/15441633-skantia?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,Watch Live,False,Tickets & RSVP,0,0,2024-10-19 23:00:00,Europe/London,datetime,en,data,,True,42,10,11,,Faible,1,44.724714,48.801878
https://photos.bandsintown.com/thumb/7857026.jpeg,https://media.bandsintown.com/110x110/7857026.webp,https://www.bandsintown.com/e/1032731012-mamacita-at-e1-london?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp,https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/02.png,Mamacita,E1 London,False,,"London, United Kingdom",https://assets.prod.bandsintown.com/images/pinIcon.svg,https://www.bandsintown.com/e/1032731012-mamacita-at-e1-london?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,https://www.bandsintown.com/a/1179517-mamacita?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,Watch Live,False,Tickets & RSVP,0,0,2024-10-19 23:00:00,Europe/London,datetime,en,data,,True,42,10,11,,Faible,1,-0.053749,51.514357
https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/02.png,https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/06.webp,https://www.bandsintown.com/e/1033050038-terminal-4-at-e1-london?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp,https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/04.png,Terminal 4,E1 London,False,,"London, United Kingdom",https://assets.prod.bandsintown.com/images/pinIcon.svg,https://www.bandsintown.com/e/1033050038-terminal-4-at-e1-london?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,https://www.bandsintown.com/a/644109-terminal-4?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,Watch Live,False,Tickets & RSVP,0,0,2024-10-19 23:00:00,Europe/London,datetime,en,data,,True,42,10,11,,Faible,1,-0.053749,51.514357
https://photos.bandsintown.com/thumb/7694165.jpeg,https://media.bandsintown.com/110x110/7694165.webp,https://www.bandsintown.com/e/1033007617-zero-gravity-at-sub89?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp,https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/07.png,Zero Gravity,Sub89,False,,"Reading, United Kingdom",https://assets.prod.bandsintown.com/images/pinIcon.svg,https://www.bandsintown.com/e/1033007617-zero-gravity-at-sub89?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,https://www.bandsintown.com/a/536341-zero-gravity?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,Watch Live,False,Tickets & RSVP,0,0,2024-10-19 23:00:00,Europe/London,datetime,en,data,,True,42,10,11,,Faible,1,-0.982898,51.45293
https://photos.bandsintown.com/thumb/6354757.jpeg,https://media.bandsintown.com/110x110/6354757.webp,https://www.bandsintown.com/e/1033050032-pioneer-at-e1-london?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp,https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/02.png,Pioneer,E1 London,False,,"London, United Kingdom",https://assets.prod.bandsintown.com/images/pinIcon.svg,https://www.bandsintown.com/e/1033050032-pioneer-at-e1-london?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,https://www.bandsintown.com/a/218665-pioneer?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,Watch Live,False,Tickets & RSVP,0,0,2024-10-19 23:00:00,Europe/London,datetime,en,data,,True,42,10,11,,Faible,1,-0.053749,51.514357
https://photos.bandsintown.com/thumb/18266171.jpeg,https://media.bandsintown.com/110x110/18266171.webp,https://www.bandsintown.com/e/105969431-perc-at-fabric?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp,https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/03.png,Perc,Fabric,False,,"London, United Kingdom",https://assets.prod.bandsintown.com/images/pinIcon.svg,https://www.bandsintown.com/e/105969431-perc-at-fabric?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,https://www.bandsintown.com/a/316972-perc?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,Watch Live,False,Tickets & RSVP,3,3,2024-10-19 23:00:00,Europe/London,datetime,en,data,,True,42,10,11,,Moyenne,1,-0.099076,51.509648
https://photos.bandsintown.com/thumb/6183793.jpeg,https://media.bandsintown.com/110x110/6183793.webp,https://www.bandsintown.com/e/1033007643-concorde-2-at-concorde-2?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp,https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/02.png,Concorde 2,Concorde 2,False,,"Brighton, United Kingdom",https://assets.prod.bandsintown.com/images/pinIcon.svg,https://www.bandsintown.com/e/1033007643-concorde-2-at-concorde-2?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,https://www.bandsintown.com/a/4976744-concorde-2?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,Watch Live,False,Tickets & RSVP,1,1,2024-10-19 23:00:00,Europe/London,datetime,en,data,,True,42,10,11,,Faible,1,10.565083,49.7668
